AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccessRights,DataType
1073,Cabinet,GK.ZLW.11,1,BatteryVoltage,Voltage,Voltage,NoPrefix,Read,Float
1074,Cabinet,GK.ZLW.11,2,CabinetDoorIsOpen,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1075,Cabinet,GK.ZLW.11,3,cmdcontrolIsLocal,NoQuantity,NoUoM,NoPrefix,Read,Boolean
1076,Cabinet,GK.ZLW.11,4,cmdOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
1077,Cabinet,GK.ZLW.11,5,ControlTemperature,NoQuantity,NoUoM,NoPrefix,Read,Float
1078,Cabinet,GK.ZLW.11,6,HeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Float
1079,Cabinet,GK.ZLW.11,7,HeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Float
1080,Cabinet,GK.ZLW.11,8,Params.DefaultHeatingCurve.SetPointHigh,NoQuantity,NoUoM,NoPrefix,Both,Int32
181,Cabinet,GK.ZLW.11,9,Params.DefaultHeatingCurve.SetPointLow,NoQuantity,NoUoM,NoPrefix,Both,Int32
1019,Cabinet,GK.ZLW.11,10,statOperationMode,NoQuantity,NoUoM,NoPrefix,Both,Int16
